id|title|starring|writer|editor|aggregate value
276|Mon beau-fru00E8re a tuu00E9 ma soeur||Jacques Rouffio||Mon beau-fru00E8re a tuu00E9 ma soeur  Jacques Rouffio
277||Sacha Noam Baron Cohen 1987|Sacha Noam Baron Cohen 1987||Sacha Noam Baron Cohen 1987 Sacha Noam Baron Cohen 1987
278|Guyana Tragedy: The Story of Jim Jones|Levardis Robert Martyn Burton, Jr.|Ernest Tidyman||Guyana Tragedy: The Story of Jim Jones Levardis Robert Martyn Burton, Jr. Ernest Tidyman
279||Elina Salo|Mika Waltari||Elina Salo Mika Waltari
280|Abby|Terry Carter|G. Cornell Layne||Abby Terry Carter G. Cornell Layne
281|Quick Change|Anthony Marcus Shalhoub|Jay Cronley||Quick Change Anthony Marcus Shalhoub Jay Cronley
282||Mid-Missourri Ballers|Azur Allen||Mid-Missourri Ballers Azur Allen
283|Genie Award for Best Motion Picture|Gilles Maheu|Jean-Claude Lauzon||Genie Award for Best Motion Picture Gilles Maheu Jean-Claude Lauzon
284|All of Me|Stephen Glenn Martin|Edwin Davis (writer)||All of Me Stephen Glenn Martin Edwin Davis (writer)
285|Vertical Limit|Robin Tunney|Terry Hayes||Vertical Limit Robin Tunney Terry Hayes
286|Never Die Alone|David James Arquette|James Gibson (writer)||Never Die Alone David James Arquette James Gibson (writer)
287||Bryce Dallas Howard|Tennessee Williams||Bryce Dallas Howard Tennessee Williams
288||Stepan Shagaida|Alexander Dovzhenko||Stepan Shagaida Alexander Dovzhenko
289|The Bushido Blade|Richard Boone|||The Bushido Blade Richard Boone
290||Rafe Joseph Spall|Stewart Harcourt||Rafe Joseph Spall Stewart Harcourt
291||u0E40u0E1Eu0E0Au0E23u0E32 u0E40u0E0Au0E32u0E27u0E23u0E32u0E29u0E0Eu0E23u0E4C|||u0E40u0E1Eu0E0Au0E23u0E32 u0E40u0E0Au0E32u0E27u0E23u0E32u0E29u0E0Eu0E23u0E4C
292|Metro|Sharman Joshi|Anurag Basu||Metro Sharman Joshi Anurag Basu
293|Cold Creek Manor|Stephen Dorff Jr.|Richard Jeffries||Cold Creek Manor Stephen Dorff Jr. Richard Jeffries
294||James Stewart (actor)|Owen Crump||James Stewart (actor) Owen Crump
295||Laura Morante|Christopher Thompson||Laura Morante Christopher Thompson
296|||Pao Lei||Pao Lei
297||Ingvar E. Sigur?sson|Arnaldur Indri?ason||Ingvar E. Sigur?sson Arnaldur Indri?ason
298|The Baxter|Michelle Williams (actor)|Michael Showalter||The Baxter Michelle Williams (actor) Michael Showalter
299||Caroline Langrishe|David Rayfiel||Caroline Langrishe David Rayfiel
300|The Mothman Prophecies|Laura Linney|Lewis Klahr||The Mothman Prophecies Laura Linney Lewis Klahr
301|Korczak|Wojciech Pszoniak|Agnieszka Holland||Korczak Wojciech Pszoniak Agnieszka Holland
302|Dirty Hands||Cetywa Powell||Dirty Hands  Cetywa Powell
303|Encino Man|Sean Patrick Duke|George Zaloom Shawn Schepps||Encino Man Sean Patrick Duke George Zaloom Shawn Schepps
304|Faustrecht der Freiheit|Kurt Raab|Rainer Werner Fassbinder||Faustrecht der Freiheit Kurt Raab Rainer Werner Fassbinder
305|The Crimes of Stephen Hawke|D. J. Williams|Jack Celestin||The Crimes of Stephen Hawke D. J. Williams Jack Celestin
306|Frostbiten|Petra Nielsen, Grete Havnesku00F6ld, Jonas Karlstru00F6m & Emma u00C5berg|Daniel Ojanlatva & Pidde Andersson||Frostbiten Petra Nielsen, Grete Havnesku00F6ld, Jonas Karlstru00F6m & Emma u00C5berg Daniel Ojanlatva & Pidde Andersson
307|National Lampoon Goes the the Movies|Peter Riegert|Gerald Sussman||National Lampoon Goes the the Movies Peter Riegert Gerald Sussman
308||William Davis Garwood Jr.|||William Davis Garwood Jr.
309||Phylbert Angellie Ranollo Fagestrom|||Phylbert Angellie Ranollo Fagestrom
310|The Facts of Life|Leslie Townes Hope|Melvin Frank||The Facts of Life Leslie Townes Hope Melvin Frank
311||Roger Meddows-Taylor|||Roger Meddows-Taylor
312|Raining Stones|Bruce Jones|Jim Allen||Raining Stones Bruce Jones Jim Allen
313||Cone McCaslin|||Cone McCaslin
314|You Only Live Once|Henry Jaynes Fonda|Gene Towne||You Only Live Once Henry Jaynes Fonda Gene Towne
315||Eduardo Noriega|Christophe Honore||Eduardo Noriega Christophe Honore
316||Theodor Friedrich Emil Janenz|Carl Mayer||Theodor Friedrich Emil Janenz Carl Mayer
317||John Stephen Goodman|Roger Gould||John Stephen Goodman Roger Gould
318|Athanokkade|Kalyan Ram|Surender Reddy||Athanokkade Kalyan Ram Surender Reddy
319||Soha Ali Khan|Imtiaz Ali||Soha Ali Khan Imtiaz Ali
320||Mukesh Khanna|||Mukesh Khanna
321||William Henry Pratt|Curt Siodmak||William Henry Pratt Curt Siodmak
322|Atoll K|Arthur Stanley Jefferson|John D. Klorer Frederick Kohner Piero Tellini Renu00E9 Wheeler||Atoll K Arthur Stanley Jefferson John D. Klorer Frederick Kohner Piero Tellini Renu00E9 Wheeler
323|The Final Option|Judy Davis|Reginald Rose||The Final Option Judy Davis Reginald Rose
324||Monica Bellucci|Carl Austin||Monica Bellucci Carl Austin
325||Haidar Khan|Terry Ramsaye||Haidar Khan Terry Ramsaye
326|Blades of Glory|Jonathan Joseph Heder|Jeff Cox||Blades of Glory Jonathan Joseph Heder Jeff Cox
327|Fearless|Isabella Fiorella Elettra Giovanna Rossellini|Rafael Yglesias||Fearless Isabella Fiorella Elettra Giovanna Rossellini Rafael Yglesias
328|Darling|Esha Deol|Kusum Punjabi||Darling Esha Deol Kusum Punjabi
329|Ocean's Thirteen|Elliott Goldstein|Brian Koppelman||Ocean's Thirteen Elliott Goldstein Brian Koppelman
330||Theodor Friedrich Emil Janenz|Fridel K?hne||Theodor Friedrich Emil Janenz Fridel K?hne
331|Children of Divorce|Esther Ralston|Owen Johnson||Children of Divorce Esther Ralston Owen Johnson
332|Street Smart|Christopher Reeve|David Freeman||Street Smart Christopher Reeve David Freeman
333||Terrance Quinn|Charles Robert Carner||Terrance Quinn Charles Robert Carner
334||Allari Naresh|Varaprasad varma EVV Satyanarayana||Allari Naresh Varaprasad varma EVV Satyanarayana
335|Merry Christmas, Mr. Lawrence|David Bowie|Paul Mayersberg||Merry Christmas, Mr. Lawrence David Bowie Paul Mayersberg
336|The Sky is Falling|Teri Garr|Florrie Laurence||The Sky is Falling Teri Garr Florrie Laurence
337|Acciu00F3n mutante|Fernando Guill?n|Jorge Guerricaechevarr?a||Acciu00F3n mutante Fernando Guill?n Jorge Guerricaechevarr?a
338|The Longest Night in Shanghai|Masahiro Motoki|Yuji Yamamura||The Longest Night in Shanghai Masahiro Motoki Yuji Yamamura
339||Liubomiras Laucevi?ius|Algimantas Puipa||Liubomiras Laucevi?ius Algimantas Puipa
340||Joel Solomon Cohen|Talbot Rothwell||Joel Solomon Cohen Talbot Rothwell
341|A Walk to Remember|Shannon Bruce Snaith|Nicholas Sparks (author)||A Walk to Remember Shannon Bruce Snaith Nicholas Sparks (author)
342|The Glass Mountain|Michael Denison|Emery Bonnet||The Glass Mountain Michael Denison Emery Bonnet
343|Truth in Numbers: The Wikipedia Story|KRS-One|||Truth in Numbers: The Wikipedia Story KRS-One
344|Robin's Big Date|Justin Jake Long|Will Carlough||Robin's Big Date Justin Jake Long Will Carlough
345||Peter Fitz|Christian Rateuke Hartmann Schmige||Peter Fitz Christian Rateuke Hartmann Schmige
346|Texas Rangers|James William Van Der Beek, Jr.|Scott Busby||Texas Rangers James William Van Der Beek, Jr. Scott Busby
347||Sanjay Khan|||Sanjay Khan
348||Eugenie Forde|||Eugenie Forde
349|La Battaglia dell'ultimo panzer|Guy Madison|Giuseppe Chiarolla Giuliana Garavaglia Josu00E9 Luis Merino||La Battaglia dell'ultimo panzer Guy Madison Giuseppe Chiarolla Giuliana Garavaglia Josu00E9 Luis Merino
350|Zyzzyx Rd.|Leo Grillo|John Penney||Zyzzyx Rd. Leo Grillo John Penney
351||Shyama|||Shyama
352|The Trail of Hate|John Martin Feeney|John Martin Feeney||The Trail of Hate John Martin Feeney John Martin Feeney
353|The Cars That Ate Paris|John Meillon|Peter Lindsay Weir||The Cars That Ate Paris John Meillon Peter Lindsay Weir
354||Michael Jackson|Michael Jackson||Michael Jackson Michael Jackson
355||Tito Alonso|Israel Chas de Cruz||Tito Alonso Israel Chas de Cruz
356|Yaadein|Balraj Dutt|Akhtar-Ul-Iman||Yaadein Balraj Dutt Akhtar-Ul-Iman
357|Black Moon|Joseph Angelo (Joe) D'allesandro|Joyce Bu?uel||Black Moon Joseph Angelo (Joe) D'allesandro Joyce Bu?uel
358|The Tenderfoot's Money|Henry DeWitt Carey II|Stanner E.V. Taylor||The Tenderfoot's Money Henry DeWitt Carey II Stanner E.V. Taylor
359|House Party|Kid n' Play|Reginald Hudlin||House Party Kid n' Play Reginald Hudlin
360||Gregory Walcott|Harry Kleiner (story) Art Cohn||Gregory Walcott Harry Kleiner (story) Art Cohn
361|In My Father's Den|Emily Barclay|Brad McGann||In My Father's Den Emily Barclay Brad McGann
362||Archibald Alec Leach|Samuel and Bella Spewack||Archibald Alec Leach Samuel and Bella Spewack
363||Irfan Khan|Yogesh Vinayak Joshi||Irfan Khan Yogesh Vinayak Joshi
364|Phir Milenge|Salman Khan|Atul Sabharwal||Phir Milenge Salman Khan Atul Sabharwal
365||Sangeetha|||Sangeetha
366|Get Smart|Kenneth Davitian|Tom J. Astle Matt Ember||Get Smart Kenneth Davitian Tom J. Astle Matt Ember
367||Blaise Beckjord|Derek Westerlund||Blaise Beckjord Derek Westerlund
368||Cipe Lincovsky|Agnieszka Holland||Cipe Lincovsky Agnieszka Holland
369|Plunkett & Macleane|Jonathan Lee Miller|||Plunkett & Macleane Jonathan Lee Miller
370|Perfect Friday|Ursula Andress|Anthony Greville-Bell||Perfect Friday Ursula Andress Anthony Greville-Bell
371|Academy Award for Documentary Feature|Emperor Penguin|Michel Fessler||Academy Award for Documentary Feature Emperor Penguin Michel Fessler
372|Dog Day Afternoon|Christopher Sarandon|Frank Pierson||Dog Day Afternoon Christopher Sarandon Frank Pierson
373||Oliver Parniere|Catherine Breillat Roger Salloch||Oliver Parniere Catherine Breillat Roger Salloch
374||Craig Sheffer|Joel Soisson||Craig Sheffer Joel Soisson
375|Masked|Hoot Gibson|Hope Loring||Masked Hoot Gibson Hope Loring
376|Under Cover Man||John Wilstach||Under Cover Man  John Wilstach
377||Bhuvaneswari|||Bhuvaneswari
378||Deborah Jo Hunter|Boaz Davidson||Deborah Jo Hunter Boaz Davidson
379|||Andrew Bampfield||Andrew Bampfield
380||Louis Feinberg|Felix Adler||Louis Feinberg Felix Adler
381||Jean Stapleton|Allen Estrin Cindy Marcus Flip Kobler||Jean Stapleton Allen Estrin Cindy Marcus Flip Kobler
382|Space Cowboys|Tommy Lee Jones|Ken Kaufman||Space Cowboys Tommy Lee Jones Ken Kaufman
383||Michael Hordern|A. J. Cronin||Michael Hordern A. J. Cronin
384||Mariel Hadley Hemingway|Mike Binder||Mariel Hadley Hemingway Mike Binder
385|Till glu00E4dje|Birger Malmsten|Ingmar Bergman||Till glu00E4dje Birger Malmsten Ingmar Bergman
386||Virginia Clara Jones|David Lang||Virginia Clara Jones David Lang
387||Dorothy Stickney|Dorothy Macardle||Dorothy Stickney Dorothy Macardle
388|The Secret Fury|Lily Claudette Chauchoin|Lionel Houser||The Secret Fury Lily Claudette Chauchoin Lionel Houser
389|Elegy|Krishna Bhanji|Nicholas Meyer||Elegy Krishna Bhanji Nicholas Meyer
390|Futurama: Bender's Big Score|Catherine Louise Sagal|David X. Cohen||Futurama: Bender's Big Score Catherine Louise Sagal David X. Cohen
391||Ivo Livi, born of Catholic peasants in Italy|Henri Verneuil||Ivo Livi, born of Catholic peasants in Italy Henri Verneuil
392||Emraan Hashmi|||Emraan Hashmi
393|Scarfies|Willa O'Neill|Duncan Sarkies & Robert Sarkies||Scarfies Willa O'Neill Duncan Sarkies & Robert Sarkies
394||Lucas Puig|||Lucas Puig
395||Mel Blanc|Tedd Pierce||Mel Blanc Tedd Pierce
396|The Day of the Locust|Donald McNichol Sutherland|Waldo Salt||The Day of the Locust Donald McNichol Sutherland Waldo Salt
397|Where the Green Ants Dream|Bruce Spence|Werner Stipetiu0107||Where the Green Ants Dream Bruce Spence Werner Stipetiu0107
398||Edward Glen|Britt Allcroft||Edward Glen Britt Allcroft
399|Amorosa|Stina Ekblad|Mai Zetterling||Amorosa Stina Ekblad Mai Zetterling
400||Donald Sumpter|Derek Ford||Donald Sumpter Derek Ford
401||Ferrah Leni Fawcett|David Giler||Ferrah Leni Fawcett David Giler
402|Strange Days|Ralph Nathaniel Twisleton-Wykeham Fiennes|Jay Cocks||Strange Days Ralph Nathaniel Twisleton-Wykeham Fiennes Jay Cocks
403|Madhumasam|Suhasini Rajaram Naidu|Chandra Siddhartha (screenplay)   Satyanand (dialogue)   Balabhadrapatruni Ramani (novel)||Madhumasam Suhasini Rajaram Naidu Chandra Siddhartha (screenplay)   Satyanand (dialogue)   Balabhadrapatruni Ramani (novel)
404|Dus|Salman Khan|Mukul S. Anand||Dus Salman Khan Mukul S. Anand
405||Tak Sakaguchi|Ryuhei Kitamura||Tak Sakaguchi Ryuhei Kitamura
406||Sebastian Cabot|Leo Gordon||Sebastian Cabot Leo Gordon
407||Anula Karunatilleke|P. K. D. Seneviratne||Anula Karunatilleke P. K. D. Seneviratne
408|Il Ladro di bambini|Giuseppe Ieracitano|Gianni Amelio||Il Ladro di bambini Giuseppe Ieracitano Gianni Amelio
409||Susan Kingsley|Marisa Silver||Susan Kingsley Marisa Silver
410|Dark Harvest|Jessica Dunphy|Paul Moore||Dark Harvest Jessica Dunphy Paul Moore
411|Eraserhead|Charlotte Stewart|David Keith Lynch||Eraserhead Charlotte Stewart David Keith Lynch
412||Sangeeta|Hasan Imtisal||Sangeeta Hasan Imtisal
413||Charles Dennis Buchinsky|Eliot Asinof||Charles Dennis Buchinsky Eliot Asinof
414||Francis Xavier Aloysius James Jeremiah Keenan Wynn|Jim Lehrer||Francis Xavier Aloysius James Jeremiah Keenan Wynn Jim Lehrer
415|Stardust|David Essex|Ray Connolly||Stardust David Essex Ray Connolly
416|Short Cuts|Timothy Francis Robbins|Robert Bernard Altman||Short Cuts Timothy Francis Robbins Robert Bernard Altman
417|Going Upriver||Douglas Brinkley||Going Upriver  Douglas Brinkley
418|Beyond Evil|John Saxon|David Baughn Herb Freed Paul Ross||Beyond Evil John Saxon David Baughn Herb Freed Paul Ross
419||Ernest Frederick McIntyre Bickel|W. P. Lipscomb||Ernest Frederick McIntyre Bickel W. P. Lipscomb
420||Kitty Bradbury|Clyde Bruckman||Kitty Bradbury Clyde Bruckman
421|Narco|Isabelle Breitman|Alain Attal (story) Philippe Lefebvre (story) Gilles Lellouche||Narco Isabelle Breitman Alain Attal (story) Philippe Lefebvre (story) Gilles Lellouche
422|Renegades||Andr? Armandy||Renegades  Andr? Armandy
423||Pran|||Pran
424|Golden Lion|Vladimir Vujoviu0107|Henri-Georges Clouzot||Golden Lion Vladimir Vujoviu0107 Henri-Georges Clouzot
425||Caroline Cellier|Nicholas Blake||Caroline Cellier Nicholas Blake
426|Planet of the Apes|Maurice Evans (actor)|Pierre Boulle||Planet of the Apes Maurice Evans (actor) Pierre Boulle
427||Ralf M?ller|Uwe Boll||Ralf M?ller Uwe Boll
428|Jet Lag|Sergi L?pez|Daniu00E8le Thompson Christophe Thompson||Jet Lag Sergi L?pez Daniu00E8le Thompson Christophe Thompson
429||Georgianna Carter|Ann Porter||Georgianna Carter Ann Porter
430||Angus Macfadyen|Keoni Waxman||Angus Macfadyen Keoni Waxman
431||Heidi Van Lier as Heather|Heidi Van Lier||Heidi Van Lier as Heather Heidi Van Lier
432||Andr?s Pajares|Jos? Sanch?s Sinisterra||Andr?s Pajares Jos? Sanch?s Sinisterra
433||James Stewart (actor)|Richard L. Breen||James Stewart (actor) Richard L. Breen
434|Bed of Roses|Constance Campbell Bennett|||Bed of Roses Constance Campbell Bennett
435|Urban Legends: Final Cut|Jennifer Marie Morrison|Scott Derrickson||Urban Legends: Final Cut Jennifer Marie Morrison Scott Derrickson
436|A Woman Called Golda|Robert Loggia|Harold Gast, Steve Gethers||A Woman Called Golda Robert Loggia Harold Gast, Steve Gethers
437||Jerome Lester Horwitz|Elwood Ullman||Jerome Lester Horwitz Elwood Ullman
438|Les Filles Du Botaniste|Li Xiaoran|Dai Sijie||Les Filles Du Botaniste Li Xiaoran Dai Sijie
439||Guy Bridges Kibbee|Geza Herczeg||Guy Bridges Kibbee Geza Herczeg
440||Kemal Sunal|Sinan u00C7etin   Gu00FClin Tokat||Kemal Sunal Sinan u00C7etin   Gu00FClin Tokat
441|The Dark||Stephen Massicotte||The Dark  Stephen Massicotte
442|A Frightful Blunder|Charles West (actor)|Edward Acker||A Frightful Blunder Charles West (actor) Edward Acker
443|The Brothers Karamazov|Maria Schell|Fyodor Dostoevsky||The Brothers Karamazov Maria Schell Fyodor Dostoevsky
444|Ghost Galleon|Barbara Rey|Amando de Ossorio||Ghost Galleon Barbara Rey Amando de Ossorio
445|The Big Steal|Jane Greer|Daniel Mainwaring||The Big Steal Jane Greer Daniel Mainwaring
446|Damian'S National Lampoon's Last Resort|Corey Scott Feldman|Patrick Labyorteaux||Damian'S National Lampoon's Last Resort Corey Scott Feldman Patrick Labyorteaux
447||Anna Louise Friel|Marian Keyes||Anna Louise Friel Marian Keyes
448|The Year of Living Dangerously|Noel Ferrier|Peter Lindsay Weir||The Year of Living Dangerously Noel Ferrier Peter Lindsay Weir
449||Claus Holm|Werner J?rg L?ddecke||Claus Holm Werner J?rg L?ddecke
450|Topaze|Myrna Adele Williams|Marcel Pagnol||Topaze Myrna Adele Williams Marcel Pagnol
451|The Corsican Brothers|Roy Dotrice|Rikki Marin||The Corsican Brothers Roy Dotrice Rikki Marin
452||Lance Armstrong|||Lance Armstrong
453||Tommy Lee Jones|Guillermo Arriaga||Tommy Lee Jones Guillermo Arriaga
454|Capricorn One|Elliott Goldstein|Peter Hyams||Capricorn One Elliott Goldstein Peter Hyams
455|Tristar|u5F35u767Cu5B97 (Cheung Fat Chung)|||Tristar u5F35u767Cu5B97 (Cheung Fat Chung)
456||Yvonne Lime Bret Halsey Jana Lund|Mark Lowell Jan Lowell||Yvonne Lime Bret Halsey Jana Lund Mark Lowell Jan Lowell
457||Antonino Giovanni Ribisi|Rob Hickman||Antonino Giovanni Ribisi Rob Hickman
458||William Hansen|Michael Crichton||William Hansen Michael Crichton
459|David and Bathsheba|Edythe Marrenner|Philip Dunne (writer)||David and Bathsheba Edythe Marrenner Philip Dunne (writer)
460||Emmanuelle Riva|Georges Franju||Emmanuelle Riva Georges Franju
461|Southie|Rose Arianna McGowan|||Southie Rose Arianna McGowan
462||Biagio Anthony Gazzara|Laura Cahill||Biagio Anthony Gazzara Laura Cahill
463|Der Hauptmann von Ku00F6penick|Max Adalbert|Albrecht Joseph||Der Hauptmann von Ku00F6penick Max Adalbert Albrecht Joseph
464||Khristofor Lawl Rossianov|||Khristofor Lawl Rossianov
465|Invasion of the Bee Girls|Victoria Vetri|Nicholas Meyer||Invasion of the Bee Girls Victoria Vetri Nicholas Meyer
466|Insanitarium||Jeff Buhler||Insanitarium  Jeff Buhler
467|Zoom|Kate Mara|Adam Rifkin||Zoom Kate Mara Adam Rifkin
468||Laila|S. Shankar||Laila S. Shankar
469|One Hour Photo|Michael Vartan|Mark Romanek||One Hour Photo Michael Vartan Mark Romanek
470|Devils on the Doorstep|Yuan Ding|Shi Jianquan||Devils on the Doorstep Yuan Ding Shi Jianquan
471||Mimi Heinrich|Erik Fiehn||Mimi Heinrich Erik Fiehn
472||Denise Michelle Crosby|||Denise Michelle Crosby
473||Hilary Duff|Gail Parent||Hilary Duff Gail Parent
474||Raakhee Gulzar|Iqbal Durrani||Raakhee Gulzar Iqbal Durrani
475|Shall We Dansu?|Tamiyo Kusakari|Masayuki Suo||Shall We Dansu? Tamiyo Kusakari Masayuki Suo
476|||Alexander Dovzhenko||Alexander Dovzhenko
477||moe.|moe.||moe. moe.
478|The Light That Failed (1939 Film)|Walter Houghston|||The Light That Failed (1939 Film) Walter Houghston
479||Maurice Denham|Mark Twain||Maurice Denham Mark Twain
480|Shart: The Challenge|Tusshar Kapoor|Puri Jagannadh||Shart: The Challenge Tusshar Kapoor Puri Jagannadh
481|Escape from L.A.|Georges Corraface|Debra Hill||Escape from L.A. Georges Corraface Debra Hill
482|Hell's Island|Mary Murphy|Maxwell Shane||Hell's Island Mary Murphy Maxwell Shane
483||Sada Carolyn Thompson|Terrence McNally||Sada Carolyn Thompson Terrence McNally
484||Vijayaraj|||Vijayaraj
485||Choosak Iamsook|||Choosak Iamsook
486||Milo? Kopeck?|Ji?? Brde?ka||Milo? Kopeck? Ji?? Brde?ka
487|Babes in Arms|Frances Ethel Gumm|Kay Van Riper||Babes in Arms Frances Ethel Gumm Kay Van Riper
488||Madhuri Shankar Dixit|K. S. Adiyaman Arun Kumar Ashok Mehta Reema Rakeshnath||Madhuri Shankar Dixit K. S. Adiyaman Arun Kumar Ashok Mehta Reema Rakeshnath
489|The Mighty|Virginia Cathryn Rowlands|Rodman Philbrick||The Mighty Virginia Cathryn Rowlands Rodman Philbrick
490|Quicksilver|Kevin Norwood Bacon|Thomas Michael Donnelly||Quicksilver Kevin Norwood Bacon Thomas Michael Donnelly
491|The Blue Hour|Alyssa Jayne Milano|Eric Nazarian||The Blue Hour Alyssa Jayne Milano Eric Nazarian
492||Ornella Muti|Giuseppe Moccia||Ornella Muti Giuseppe Moccia
493||Max Bing|||Max Bing
494|Perversidade||Jos? Medina||Perversidade  Jos? Medina
495|Metropolitan|Taylor Nichols|Whit Stillman||Metropolitan Taylor Nichols Whit Stillman
496|That's My Line|Louis John Bartels|Roscoe Arbuckle||That's My Line Louis John Bartels Roscoe Arbuckle
497|Samurai Rebellion|Toshir? Mifune|Shinobu Hashimoto||Samurai Rebellion Toshir? Mifune Shinobu Hashimoto
498|Wolf Tracks|Hoot Gibson|Mack V. Wright||Wolf Tracks Hoot Gibson Mack V. Wright
