id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/abstract|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/numberOfSeasons|http://dbpedia.org/ontology/numberOfEpisodes|http://dbpedia.org/ontology/birthDate|http://dbpedia.org/ontology/releaseDate|https://www.scads.de/movieBenchmark/ontology/last_air_date|https://www.scads.de/movieBenchmark/ontology/release_year|http://dbpedia.org/ontology/runtime|https://www.scads.de/movieBenchmark/ontology/genre_list|https://www.scads.de/movieBenchmark/ontology/origin_country|aggregate value
144|Episode 5|||5|3||||2019-05-25||2019-01-01||||Episode 5 2019-01-01 5 2019-05-25 3
145||Leonid Kalashnikov|||||||||||||2 Leonid Kalashnikov
146|Charlie Six Kids|||15|1||||1962-05-29||1962-01-01||||1962-01-01 1 1962-05-29 15 Charlie Six Kids
147||Otis Sallid|||||||||||||Writing Otis Sallid 0
148|Chimney Sweeper||Mike first goes to the Chimney Safety Institute of America in Plainfield, IN and learns how to be a certified chimney sweeper. Mike then goes to Ontario, Canada to salvage underwater logs, which are then used to make furniture. Finally, Mike visits a scrap metal recycler in St. Louis, MO and learns how to separate different metals and operate some big machines.|13|1||||2005-11-08||2005-01-01||||13 1 Mike first goes to the Chimney Safety Institute of America in Plainfield, IN and learns how to be a certified chimney sweeper. Mike then goes to Ontario, Canada to salvage underwater logs, which are then used to make furniture. Finally, Mike visits a scrap metal recycler in St. Louis, MO and learns how to separate different metals and operate some big machines. Chimney Sweeper 2005-11-08 2005-01-01
149|Abel||Abel doesn't leave his room for 20 years. After the accident, he confined himself to the cloister and his instincts, creating a routine.  However, it is when the person who ensures his survival ceases to appear, finishing the food and the drink, that he ends up leaving the alienated state in which he is. Abel goes out to the unknown in order to satisfy his addiction.  Without knowing it, he is approaching the abyss.||||||2018-02-28||2018-01-01|6|Drama||2018-01-01 Abel 6 en Abel Abel doesn't leave his room for 20 years. After the accident, he confined himself to the cloister and his instincts, creating a routine.  However, it is when the person who ensures his survival ceases to appear, finishing the food and the drink, that he ends up leaving the alienated state in which he is. Abel goes out to the unknown in order to satisfy his addiction.  Without knowing it, he is approaching the abyss. Drama 0 2018-02-28 0 Released Portugal
150|Motherhunt (2)||'A widow finds a baby on her doorstep with a note saying ''A child should live in his father's house.''  Enter Wolfe, whose job is to find out if the dearly departed really sired the orphan.  Archie investigates and still finds time to romance the widow.  After a few dead ends, Wolfe and Archie redouble their efforts using the baby as mother-bait, but the scheme leads to another death.  With his usual impeccable timing, Inspector Cramer comes knocking, and Wolfe and Archie are forced into hiding at their client's house to buy time to solve the case.|7|2||||2002-05-19||2002-01-01||||2 Motherhunt (2) 2002-01-01 'A widow finds a baby on her doorstep with a note saying ''A child should live in his father's house.''  Enter Wolfe, whose job is to find out if the dearly departed really sired the orphan.  Archie investigates and still finds time to romance the widow.  After a few dead ends, Wolfe and Archie redouble their efforts using the baby as mother-bait, but the scheme leads to another death.  With his usual impeccable timing, Inspector Cramer comes knocking, and Wolfe and Archie are forced into hiding at their client's house to buy time to solve the case. 7 2002-05-19
151|Episode 14|||14|2||||2017-08-14||2017-01-01||||2 Episode 14 2017-01-01 2017-08-14 14
152||Marion Rothman|||||||||||||1 Marion Rothman
153||Tony Pitts|||||||||||||2 Tony Pitts Acting
154||Joe Chrest|||||||||||||2 Joe Chrest
155||Beyond C.|||||||||||||productionCompany Beyond C.
156|Episode 15|||15|1||||2003-01-30||2003-01-01||||1 2003-01-01 2003-01-30 15 Episode 15
157||Jun Ki Sang|||||||||||||Jun Ki Sang 0
158|Soo Locks Technician||Mike goes to Michigan to join up with the 12 maintenance crew.|4|6||||2010-01-26||2010-01-01||||Mike goes to Michigan to join up with the 12 maintenance crew. 2010-01-26 2010-01-01 6 Soo Locks Technician 4
159|The Red Dress|||6|7||||1959-11-01||1959-01-01||||7 The Red Dress 6 1959-01-01 1959-11-01
160||Ken Anderson|||||||||||||Writing Ken Anderson 0
161||Brian Kratz|||||||||||||Brian Kratz Writing 0
162|Episode 11|||11|1||||2016-12-15||2016-01-01||||1 11 2016-12-15 Episode 11 2016-01-01
163||Raging Stallion Studios||||||||||||US|productionCompany US Raging Stallion Studios
164|The Nanny from Hell||'Larry, Cheryl, Jeff and Susie encounter a ''''nanny from hell'''' whose reign of terror is thwarted by ten sponge cakes. Larry commits a ''''penis faux pas'''' after a pool party, and Richard Lewis seeks immortality from Bartlett's Quotations.|4|3||||2002-10-06||2002-01-01||||2002-01-01 'Larry, Cheryl, Jeff and Susie encounter a ''''nanny from hell'''' whose reign of terror is thwarted by ten sponge cakes. Larry commits a ''''penis faux pas'''' after a pool party, and Richard Lewis seeks immortality from Bartlett's Quotations. The Nanny from Hell 2002-10-06 4 3
165||Luis Chao|||||||||||||Luis Chao 0
166|Der ?berfall|||4|1||||2012-10-02||2012-01-01||||2012-01-01 1 2012-10-02 4 Der ?berfall
167|Don't Call It A Comeback|| BET's first hour long scripted drama is a follow-up to the same-titled TV movie that premiered on the network in the summer of 2013. The series returns Gabrielle Union to the lead role of Mary Jane Paul, a successful cable news anchor who has a closet packed with designer clothes and shoes, a beautiful home, a nice car, and the drive to achieve even greater heights. Yet something is missing. As Mary Jane looks to start a family of her own to share life's greatest gifts, she discovers who she really is and the people who help define her. |6|3||||2015-11-17||2015-01-01||||2015-01-01 Don't Call It A Comeback  BET's first hour long scripted drama is a follow-up to the same-titled TV movie that premiered on the network in the summer of 2013. The series returns Gabrielle Union to the lead role of Mary Jane Paul, a successful cable news anchor who has a closet packed with designer clothes and shoes, a beautiful home, a nice car, and the drive to achieve even greater heights. Yet something is missing. As Mary Jane looks to start a family of her own to share life's greatest gifts, she discovers who she really is and the people who help define her.  6 2015-11-17 3
168||David Moore|||||||||||||David Moore 2 Directing
169|[52] Koimonogatari [4] Hitagi End - Part 4||Kaiki heads to North Shirahebi Shrine daily in order to deceive Nadeko the snake god but finds himself being followed on his way home. Furthermore, he gets a mysterious threat telling him to “pull out of this case.”|21|3||||2013-12-15||2013-01-01||||2013-12-15 2013-01-01 [52] Koimonogatari [4] Hitagi End - Part 4 21 Kaiki heads to North Shirahebi Shrine daily in order to deceive Nadeko the snake god but finds himself being followed on his way home. Furthermore, he gets a mysterious threat telling him to “pull out of this case.” 3
170||Claire Scanlon|||||||||||||1 Claire Scanlon Directing
171|Episode 3||Sara's father has died, penniless, and Miss Minchin tells Sara she is no longer a pupil but must work in the kitchen.|3|1||||1973-03-04||1973-01-01||||1 Episode 3 1973-01-01 Sara's father has died, penniless, and Miss Minchin tells Sara she is no longer a pupil but must work in the kitchen. 1973-03-04 3
172|Claes Malmberg g?star|||1|2||||2018-03-09||2018-01-01||||2 2018-01-01 1 Claes Malmberg g?star 2018-03-09
173||Mark Stetson|||||||||||||Mark Stetson 2
174||Daniela Escobar|||||||||||||1 Daniela Escobar
175||Larry David|||||||||||||Larry David 2 Writing
176|Date With a Serial Killer: Rodney Cameron||'Rodney Francis Cameron was dubbed ‘The Lonely Hearts Killer’ after he used a radio match-making program in 1990 to lure an unsuspecting woman to her death. Incredibly, he had only just been released from prison for two other killings in 1974. Cameron’s psychopathic tendencies appeared early in his life. At the age of ten he tried to strangle a young girl. He then attempted to strangle two other women, and moved into a life of alcohol and drug abuse, including experimenting with hallucinogenic chemicals. He also dabbled in Satanism. At the age of 19, while working at a nursing home in the Blue Mountains, west of Sydney, he raped and strangled nurse Florence Jackson.  The victim was left with a towel stuffed down her throat in what was to become his signature “mark of death”.  A week later, heading south to Melbourne, he hitched a lift with a 19-year-old bank clerk, Francesco Ciliberto, whom he strangled with a football sock.  A short time later, he was caught in Queensland after abducting a mother and daughter. He told arresting police he “had to kill three.” He was sentenced to prison for life and served 16 years. While incarcerated he married a lifelong friend named Anne. Soon after his release in 1990, he rang a late-night match-maker talkback program on radio 3AW Melbourne.  He described himself as a non-smoker and non-drinker, Gemini marine biologist who was searching for a partner “willing to share his happiness”. Forty-four-year-old Maria Goellner was one of six women who responded to his call. A few weeks later Maria was found lying dead on a motel room floor in the Blue Mountains, the same area where Cameron had committed this first murder 16 years earlier.   She had a handkerchief stuffed down her throat. The killer was jailed again for life, this time his file was marked “never to be released.” While in jail he allegedly made admissions to an informant indicating he had killed five additional victims, including two other women after his release from prison in 1990.   Police believe he was almost certainly responsible for the 1974 murder of elderly Sydney woman Sarah McKenzie, but there was not enough information to take that case to trial or to identify any of the other alleged victims.|6|3||||2009-07-30||2009-01-01||||Date With a Serial Killer: Rodney Cameron 'Rodney Francis Cameron was dubbed ‘The Lonely Hearts Killer’ after he used a radio match-making program in 1990 to lure an unsuspecting woman to her death. Incredibly, he had only just been released from prison for two other killings in 1974. Cameron’s psychopathic tendencies appeared early in his life. At the age of ten he tried to strangle a young girl. He then attempted to strangle two other women, and moved into a life of alcohol and drug abuse, including experimenting with hallucinogenic chemicals. He also dabbled in Satanism. At the age of 19, while working at a nursing home in the Blue Mountains, west of Sydney, he raped and strangled nurse Florence Jackson.  The victim was left with a towel stuffed down her throat in what was to become his signature “mark of death”.  A week later, heading south to Melbourne, he hitched a lift with a 19-year-old bank clerk, Francesco Ciliberto, whom he strangled with a football sock.  A short time later, he was caught in Queensland after abducting a mother and daughter. He told arresting police he “had to kill three.” He was sentenced to prison for life and served 16 years. While incarcerated he married a lifelong friend named Anne. Soon after his release in 1990, he rang a late-night match-maker talkback program on radio 3AW Melbourne.  He described himself as a non-smoker and non-drinker, Gemini marine biologist who was searching for a partner “willing to share his happiness”. Forty-four-year-old Maria Goellner was one of six women who responded to his call. A few weeks later Maria was found lying dead on a motel room floor in the Blue Mountains, the same area where Cameron had committed this first murder 16 years earlier.   She had a handkerchief stuffed down her throat. The killer was jailed again for life, this time his file was marked “never to be released.” While in jail he allegedly made admissions to an informant indicating he had killed five additional victims, including two other women after his release from prison in 1990.   Police believe he was almost certainly responsible for the 1974 murder of elderly Sydney woman Sarah McKenzie, but there was not enough information to take that case to trial or to identify any of the other alleged victims. 6 2009-01-01 2009-07-30 3
177||America Ferrera|||||||||||||1 America Ferrera Acting
178||Sal Kroonenberg|||||||||||||Sal Kroonenberg 0
179|Glass Maker||Mike goes to Jonesboro, Arkansas to perform dung beetle research. Then he heads to Williamstown, West Virginia to try his hand at making glass art.|16|5||||2009-11-10||2009-01-01||||2009-11-10 Mike goes to Jonesboro, Arkansas to perform dung beetle research. Then he heads to Williamstown, West Virginia to try his hand at making glass art. 16 2009-01-01 Glass Maker 5
180|PMTA||Marcel Ben David is a former police officer that joins PMTA (initials in Hebrew for: Tel Aviv District Attorney), and herself in the middle of an entangled corruption story. A suspenseful legal drama with Chen Amsalem, Shlomo Bar-Aba and Oshri Cohen.|||1|13||2018-12-16|2019-03-10|2018-01-01|35|Drama|IL|Returning Series 13 Marcel Ben David is a former police officer that joins PMTA (initials in Hebrew for: Tel Aviv District Attorney), and herself in the middle of an entangled corruption story. A suspenseful legal drama with Chen Amsalem, Shlomo Bar-Aba and Oshri Cohen. 2019-03-10 Drama true he 2018-01-01 he IL ????? 1 2018-12-16 35 https://www.kan.org.il/page.aspx?landingpageid=1101 PMTA
181|The Paparazzo Affair||Strange things have been happening, first Duc was chased by two crooks to the Sensa News, then the crooks try to take Duc from Sensa News. Fortunately, Ace was there to save him. However when they go back to the Magic Express, they been rocked by grenades. What's worse is the Magic Express is in fire. The Express goes away, until comes to a cliff, the Express falls into the ocean. Luckily, the Express can still operate underwater. Yet, Duc complains to Ace about him being crazy, but Ace confronts Duc. Duc shows Ace a CD video about a new director in the St. Paul Hospital name John Wosh. However, John Wosh isn't really who he is, his real name is Paul Kelly and was arrested for illegal chemical experiments. Duc gets to the hospital headfirst, only to be taken away. Ace and Cosmo arrive there, they learn that the secret of the hospital is to treat people with a new virus then give a medication for a high price. Ace saves Duc who was about to be thrown in boiling liquid. They find Wosh an|1|2||||||||||Strange things have been happening, first Duc was chased by two crooks to the Sensa News, then the crooks try to take Duc from Sensa News. Fortunately, Ace was there to save him. However when they go back to the Magic Express, they been rocked by grenades. What's worse is the Magic Express is in fire. The Express goes away, until comes to a cliff, the Express falls into the ocean. Luckily, the Express can still operate underwater. Yet, Duc complains to Ace about him being crazy, but Ace confronts Duc. Duc shows Ace a CD video about a new director in the St. Paul Hospital name John Wosh. However, John Wosh isn't really who he is, his real name is Paul Kelly and was arrested for illegal chemical experiments. Duc gets to the hospital headfirst, only to be taken away. Ace and Cosmo arrive there, they learn that the secret of the hospital is to treat people with a new virus then give a medication for a high price. Ace saves Duc who was about to be thrown in boiling liquid. They find Wosh an 2 1 The Paparazzo Affair
